Constructor,year,engine,constructorId,name,constructorRef
red bull-renault,2015,renault,9,red bull,red_bull
sauber-ferrari,2015,ferrari,15,sauber,sauber
toro rosso-renault,2015,renault,5,toro rosso,toro_rosso
williams-mercedes,2015,mercedes,3,williams,williams
ferrari,2016,ferrari,6,ferrari,ferrari
force india-mercedes,2016,mercedes,10,force india,force_india
haas-ferrari,2016,ferrari,210,haas f1 team,haas
mclaren-honda,2016,honda,1,mclaren,mclaren
mercedes,2016,mercedes,131,mercedes,mercedes
mrt-mercedes,2016,mercedes,209,manor marussia,manor
red bull racing-tag heuer,2016,tag heuer,9,red bull,red_bull
renault,2016,renault,4,renault,renault
sauber-ferrari,2016,ferrari,15,sauber,sauber
toro rosso-ferrari,2016,ferrari,5,toro rosso,toro_rosso
williams-mercedes,2016,mercedes,3,williams,williams
ferrari,2017,ferrari,6,ferrari,ferrari
force india-mercedes,2017,mercedes,10,force india,force_india
haas-ferrari,2017,ferrari,210,haas f1 team,haas
mclaren-honda,2017,honda,1,mclaren,mclaren
mercedes,2017,mercedes,131,mercedes,mercedes
red bull racing-tag heuer,2017,tag heuer,9,red bull,red_bull
renault,2017,renault,4,renault,renault
sauber-ferrari,2017,ferrari,15,sauber,sauber
toro rosso,2017,renault,5,toro rosso,toro_rosso
williams-mercedes,2017,mercedes,3,williams,williams
ferrari,2018,ferrari,6,ferrari,ferrari
force india-mercedes,2018,mercedes,10,force india,force_india
haas-ferrari,2018,ferrari,210,haas f1 team,haas
mclaren-renault,2018,renault,1,mclaren,mclaren
mercedes,2018,mercedes,131,mercedes,mercedes
red bull racing-tag heuer,2018,tag heuer,9,red bull,red_bull
renault,2018,renault,4,renault,renault
sauber-ferrari,2018,ferrari,15,sauber,sauber
scuderia toro rosso-honda,2018,honda,213,alphatauri,alphatauri
williams-mercedes,2018,mercedes,3,williams,williams
alfa romeo racing-ferrari,2019,ferrari,51,alfa romeo,alfa
ferrari,2019,ferrari,6,ferrari,ferrari
haas-ferrari,2019,ferrari,210,haas f1 team,haas
mclaren-renault,2019,renault,1,mclaren,mclaren
mercedes,2019,mercedes,131,mercedes,mercedes
racing point-bwt mercedes,2019,mercedes,211,racing point,racing_point
red bull racing-honda,2019,honda,9,red bull,red_bull
renault,2019,renault,4,renault,renault
scuderia toro rosso-honda,2019,honda,213,alphatauri,alphatauri
williams-mercedes,2019,mercedes,3,williams,williams
alfa romeo racing-ferrari,2020,ferrari,51,alfa romeo,alfa
alphatauri-honda,2020,honda,213,alphatauri,alphatauri
ferrari,2020,ferrari,6,ferrari,ferrari
haas-ferrari,2020,ferrari,210,haas f1 team,haas
mclaren-renault,2020,renault,1,mclaren,mclaren
mercedes,2020,mercedes,131,mercedes,mercedes
racing point-bwt mercedes,2020,mercedes,211,racing point,racing_point
red bull racing-honda,2020,honda,9,red bull,red_bull
renault,2020,renault,4,renault,renault
williams-mercedes,2020,mercedes,3,williams,williams
